Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
,TGS-2019502777,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2019502796,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2019503373,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2019504077,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2019504798,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022012142,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022012144,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022013935,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022014429,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022014437,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2021004402,,,,,,Precision Manufacturing Process,Cutting,Fitness Innovations (Singapore) Pte Ltd,SSG-NON-WSQ,N
,TGS-2022011471,,,,,,Precision Manufacturing Process,Cutting,TONI INTERNATIONAL COLLEGE OF AESTHETICS & PHYSIOLOGY PTE. LTD.,SSG-NON-WSQ,N
,TGS-2022013518,,,,,,Precision Manufacturing Process,Cutting,NANYANG ACADEMY OF FINE ARTS,SSG-NON-WSQ,N
,TGS-2019503333,,,,,,Precision Manufacturing Process,Cutting,Delta Senior School,SSG-WSQ,N
,TGS-2022015252,,,,,,Precision Manufacturing Process,Cutting,Delta Senior School,SSG-WSQ,N
,TGS-2022015252,,,,,,Precision Manufacturing Process,Product and Machine Assembly,Delta Senior School,SSG-WSQ,N
,TGS-2022011049,,,,,,Precision Manufacturing Process,Laser and Optics Application,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022011053,,,,,,Precision Manufacturing Process,Laser and Optics Application,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2015502296,,,,,,Precision Manufacturing Process,Machining,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2022013498,,,,,,Precision Manufacturing Process,Material Joining,Building and Construction Authority,SSG-NON-WSQ,N
,TGS-2023022261,,,,,,Precision Manufacturing Process,Metal-based Additive Manufacturing,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020513172,,,,,,Precision Manufacturing Process,Non-Destructive Testing,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2021008117,,,,,,Precision Manufacturing Process,Non-Destructive Testing,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2023035637,,,,,,Precision Manufacturing Process,Polymeric Additive Manufacturing,NANYANG ACADEMY OF FINE ARTS,SSG-NON-WSQ,N
,TGS-2020502578,,,,,,Product Development,Engineering Product Design,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022015246,,,,,,Product Development,Engineering Product Design,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2022015277,,,,,,Product Development,Engineering Product Design,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2022015442,,,,,,Product Development,Engineering Product Design,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2022016019,,,,,,Product Development,Engineering Product Design,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2023020754,,,,,,Product Development,Engineering Product Design,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2023020755,,,,,,Product Development,Engineering Product Design,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2020502796,,,,,,Product Development,Manufacturing Process Design,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022015247,,,,,,Product Development,New Product Introduction,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2020503941,,,,,,Production Management,Production Resource Management,DIGI-SMART CONSULTING PTE. LTD.,SSG-WSQ,N
,TGS-2020503941,,,,,,Value Engineering,Lean Manufacturing,DIGI-SMART CONSULTING PTE. LTD.,SSG-WSQ,N
,TGS-2022012763,,,,,,Production Management,Production Resource Management,Building and Construction Authority,SSG-NON-WSQ,N
,TGS-2014500037,,,,,,Productivity and Innovation,Continuous Process Improvement,KC ACADEMY PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021009297,,,,,,Productivity and Innovation,Continuous Process Improvement,DIGI-SMART CONSULTING PTE. LTD.,SSG-WSQ,N
,TGS-2021009297,,,,,,Quality Management,Quality System Management,DIGI-SMART CONSULTING PTE. LTD.,SSG-WSQ,N
,TGS-2019504478,,,,,,Productivity and Innovation,Innovation Management,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2020503646,,,,,,Productivity and Innovation,Innovation Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2019504971,,,,,,Productivity and Innovation,Innovation Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2022011572,,,,,,Productivity and Innovation,Innovation Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022012290,,,,,,Productivity and Innovation,Innovation Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022012408,,,,,,Productivity and Innovation,Innovation Management,GOLDEN COMPASS SCHOOL PTE. LTD.,SSG-WSQ,N
,TGS-2020503275,,,,,,Productivity and Innovation,Innovation Management,IPOS INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021006621,,,,,,Productivity and Innovation,Innovation Management,SUPPLY CHAIN & LOGISTICS ACADEMY PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020503134,,,,,,Productivity and Innovation,Innovation Management,THE LEADERSHIP INSTITUTE PTE. LTD.,SSG-WSQ,N
,TGS-2023020653,,,,,,Productivity and Innovation,Innovation Management,SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,SSG-NON-WSQ,N
,TGS-2021007323,,,,,,Productivity and Innovation,Innovation Management,I_NURTURE CONSULTANCY,SSG-WSQ,N
,TGS-2020503199,,,,,,Productivity and Innovation,Innovation Management,SINGAPORE CHINESE CHAMBER INSTITUTE OF BUSINESS,SSG-WSQ,N
,TGS-2022014127,,,,,,Productivity and Innovation,Innovation Management,Social Service Institute (SSI),SSG-NON-WSQ,N
,TGS-2021009228,,,,,,Productivity and Innovation,Innovation Management,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2020503349,,,,,,Quality Management,Failure Analysis,WORK WORK PRIVATE LIMITED,SSG-WSQ,N
,TGS-2020503349,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,WORK WORK PRIVATE LIMITED,SSG-WSQ,N
,TGS-2022015449,,,,,,Quality Management,Quality System Management,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2022013496,,,,,,Quality Management,Quality System Management,Building and Construction Authority,SSG-NON-WSQ,N
,TGS-2015502281,,,,,,Quality Management,Quality System Management,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2023020753,,,,,,Value Engineering,Carbon Footprint Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2023021275,,,,,,Value Engineering,Carbon Footprint Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2023037319,,,,,,Value Engineering,Carbon Footprint Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,SSG-NON-WSQ,N
,TGS-2023021051,,,,,,Value Engineering,Carbon Footprint Management,SINGAPORE PRODUCTIVITY CENTRE PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023021168,,,,,,Value Engineering,Carbon Footprint Management,SINGAPORE PRODUCTIVITY CENTRE PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021004986,,,,,,Value Engineering,Lean Manufacturing,OSMIUM PTE. LTD.,SSG-WSQ,N
,TGS-2022011849,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,BS TECHNOLOGY PTE LTD,SSG-WSQ,N
,TGS-2022011849,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,BS TECHNOLOGY PTE LTD,SSG-WSQ,N
,TGS-2022011857,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,BS TECHNOLOGY PTE LTD,SSG-WSQ,N
,TGS-2022017073,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,BS TECHNOLOGY PTE LTD,SSG-WSQ,N
,TGS-2020503385,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,ABSOLUTE KINETICS CONSULTANCY PTE LTD,SSG-WSQ,N
,TGS-2011501020,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2011501020,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2014500537,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2020513060,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2020513060,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2022013501,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,AAT TRAINING HUB PTE. LTD.,SSG-WSQ,N
,TGS-2022015312,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,AAT TRAINING HUB PTE. LTD.,SSG-WSQ,N
,TGS-2023037099,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,SSG-NON-WSQ,N
,TGS-2022013025,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,CONCORD ASSOCIATES PTE. LTD.,SSG-NON-WSQ,N
,TGS-2022013025,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,CONCORD ASSOCIATES PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023018235,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,AVANTA GLOBAL PTE. LTD.,SSG-WSQ,N
,TGS-2023018235,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,AVANTA GLOBAL PTE. LTD.,SSG-WSQ,N
,TGS-2020503686,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,DV TRAINING SERVICES PTE. LTD.,SSG-WSQ,N
,TGS-2020501125,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,A-BIDE SAFETY SOLUTIONS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020501125,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,A-BIDE SAFETY SOLUTIONS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021004875,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,A-BIDE SAFETY SOLUTIONS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021004875,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,A-BIDE SAFETY SOLUTIONS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021008995,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,AAARYA BUSINESS COLLEGE PTE. LTD.,SSG-WSQ,N
,TGS-2021008995,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,AAARYA BUSINESS COLLEGE PTE. LTD.,SSG-WSQ,N
,TGS-2017501499,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,THE PAN PACIFIC HOTEL SINGAPORE,SSG-WSQ,N
,TGS-2017501499,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,THE PAN PACIFIC HOTEL SINGAPORE,SSG-WSQ,N
,TGS-2017501110,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,Delta Senior School,SSG-WSQ,N
,TGS-2021010296,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,Delta Senior School,SSG-WSQ,N
,TGS-2021010296,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,Delta Senior School,SSG-WSQ,N
,TGS-2020510516,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2018508820,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2022011180,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021002541,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,EVERSAFE ACADEMY PTE. LTD.,SSG-NON-WSQ,N
,TGS-2022012652,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,AAARYA BUSINESS COLLEGE PTE. LTD.,SSG-WSQ,N
,TGS-2019504902,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,SINGAPORE CHINESE CHAMBER INSTITUTE OF BUSINESS,SSG-WSQ,N
